batch_id,chapter_id,chapter_number,clean_text,comment_text,event_id,event_time,ingested_at,manga_id,sentiment_label,source,synthetic,user_id
2026-09-15,demo-001-31,31,"Art dan pertarungannya keren, tidak sabar lanjut.","Art dan pertarungannya keren, tidak sabar lanjut.",20260915-0000,2026-09-15T08:07:36+00:00,2026-09-21T17:31:04.111274+00:00,demo-001,positive,synthetic_comment_simulation,True,user_036
2026-09-15,demo-002-18,18,Chapter berikutnya rilis kapan?,Chapter berikutnya rilis kapan?,20260915-0001,2026-09-15T21:29:57+00:00,2026-09-21T17:31:04.111274+00:00,demo-002,neutral,synthetic_comment_simulation,True,user_087
2026-09-15,demo-004-12,12,"Art dan pertarungannya keren, tidak sabar lanjut.","Art dan pertarungannya keren, tidak sabar lanjut.",20260915-0002,2026-09-15T08:28:15+00:00,2026-09-21T17:31:04.111274+00:00,demo-004,positive,synthetic_comment_simulation,True,user_012
2026-09-15,demo-005-27,27,"Art dan pertarungannya keren, tidak sabar lanjut.","Art dan pertarungannya keren, tidak sabar lanjut.",20260915-0003,2026-09-15T23:39:41+00:00,2026-09-21T17:31:04.111274+00:00,demo-005,positive,synthetic_comment_simulation,True,user_072
2026-09-15,demo-005-27,27,Perkembangan karakternya terasa memuaskan.,Perkembangan karakternya terasa memuaskan.,20260915-0004,2026-09-15T00:14:11+00:00,2026-09-21T17:31:04.111274+00:00,demo-005,positive,synthetic_comment_simulation,True,user_058
2026-09-15,demo-002-18,18,Saya baru selesai membaca chapter ini.,Saya baru selesai membaca chapter ini.,20260915-0005,2026-09-15T05:39:39+00:00,2026-09-21T17:31:04.111274+00:00,demo-002,neutral,synthetic_comment_simulation,True,user_044
2026-09-15,demo-002-18,18,Chapter ini terasa terlalu lambat dan bertele-tele.,Chapter ini terasa terlalu lambat dan bertele-tele.,20260915-0006,2026-09-15T03:22:36+00:00,2026-09-21T17:31:04.111274+00:00,demo-002,negative,synthetic_comment_simulation,True,user_044
2026-09-15,demo-004-12,12,Perkembangan karakternya terasa memuaskan.,Perkembangan karakternya terasa memuaskan.,20260915-0007,2026-09-15T21:58:51+00:00,2026-09-21T17:31:04.111274+00:00,demo-004,positive,synthetic_comment_simulation,True,user_109
2026-09-15,demo-003-44,44,Alurnya mulai masuk ke konflik baru.,Alurnya mulai masuk ke konflik baru.,20260915-0008,2026-09-15T19:31:24+00:00,2026-09-21T17:31:04.111274+00:00,demo-003,neutral,synthetic_comment_simulation,True,user_094
2026-09-15,demo-001-31,31,Chapter ini terasa terlalu lambat dan bertele-tele.,Chapter ini terasa terlalu lambat dan bertele-tele.,20260915-0009,2026-09-15T20:05:57+00:00,2026-09-21T17:31:04.111274+00:00,demo-001,negative,synthetic_comment_simulation,True,user_049
2026-09-15,demo-003-44,44,Saya baru selesai membaca chapter ini.,Saya baru selesai membaca chapter ini.,20260915-0010,2026-09-15T21:01:14+00:00,2026-09-21T17:31:04.111274+00:00,demo-003,neutral,synthetic_comment_simulation,True,user_080
2026-09-15,demo-002-18,18,Bagian ini menjelaskan latar belakang karakter utama.,Bagian ini menjelaskan latar belakang karakter utama.,20260915-0011,2026-09-15T10:32:10+00:00,2026-09-21T17:31:04.111274+00:00,demo-002,neutral,synthetic_comment_simulation,True,user_006
2026-09-15,demo-001-31,31,Chapter berikutnya rilis kapan?,Chapter berikutnya rilis kapan?,20260915-0012,2026-09-15T13:50:23+00:00,2026-09-21T17:31:04.111274+00:00,demo-001,neutral,synthetic_comment_simulation,True,user_111
2026-09-15,demo-003-44,44,Perkembangan karakternya terasa memuaskan.,Perkembangan karakternya terasa memuaskan.,20260915-0013,2026-09-15T05:55:19+00:00,2026-09-21T17:31:04.111274+00:00,demo-003,positive,synthetic_comment_simulation,True,user_107
2026-09-15,demo-003-44,44,Perkembangan karakternya terasa memuaskan.,Perkembangan karakternya terasa memuaskan.,20260915-0014,2026-09-15T23:35:39+00:00,2026-09-21T17:31:04.111274+00:00,demo-003,positive,synthetic_comment_simulation,True,user_086
2026-09-15,demo-001-31,31,"Art dan pertarungannya keren, tidak sabar lanjut.","Art dan pertarungannya keren, tidak sabar lanjut.",20260915-0015,2026-09-15T05:56:57+00:00,2026-09-21T17:31:04.111274+00:00,demo-001,positive,synthetic_comment_simulation,True,user_022
2026-09-15,demo-004-12,12,"Art dan pertarungannya keren, tidak sabar lanjut.","Art dan pertarungannya keren, tidak sabar lanjut.",20260915-0016,2026-09-15T11:48:24+00:00,2026-09-21T17:31:04.111274+00:00,demo-004,positive,synthetic_comment_simulation,True,user_119
2026-09-15,demo-001-31,31,Perkembangan karakternya terasa memuaskan.,Perkembangan karakternya terasa memuaskan.,20260915-0017,2026-09-15T14:36:21+00:00,2026-09-21T17:31:04.111274+00:00,demo-001,positive,synthetic_comment_simulation,True,user_005
2026-09-15,demo-003-44,44,Perkembangan karakternya terasa memuaskan.,Perkembangan karakternya terasa memuaskan.,20260915-0018,2026-09-15T07:44:29+00:00,2026-09-21T17:31:04.111274+00:00,demo-003,positive,synthetic_comment_simulation,True,user_117
2026-09-15,demo-004-12,12,Akhir chapter-nya bagus dan bikin penasaran.,Akhir chapter-nya bagus dan bikin penasaran.,20260915-0019,2026-09-15T05:12:06+00:00,2026-09-21T17:31:04.111274+00:00,demo-004,positive,synthetic_comment_simulation,True,user_118
2026-09-15,demo-003-44,44,Perkembangan karakternya terasa memuaskan.,Perkembangan karakternya terasa memuaskan.,20260915-0020,2026-09-15T21:17:02+00:00,2026-09-21T17:31:04.111274+00:00,demo-003,positive,synthetic_comment_simulation,True,user_096
2026-09-15,demo-004-12,12,Art-nya menurun dibandingkan chapter sebelumnya.,Art-nya menurun dibandingkan chapter sebelumnya.,20260915-0021,2026-09-15T07:59:06+00:00,2026-09-21T17:31:04.111274+00:00,demo-004,negative,synthetic_comment_simulation,True,user_052
2026-09-15,demo-002-18,18,"Chapter ini seru banget, alurnya makin bagus.","Chapter ini seru banget, alurnya makin bagus.",20260915-0022,2026-09-15T03:59:31+00:00,2026-09-21T17:31:04.111274+00:00,demo-002,positive,synthetic_comment_simulation,True,user_012
2026-09-15,demo-002-18,18,Alurnya mulai masuk ke konflik baru.,Alurnya mulai masuk ke konflik baru.,20260915-0023,2026-09-15T21:42:52+00:00,2026-09-21T17:31:04.111274+00:00,demo-002,neutral,synthetic_comment_simulation,True,user_102
2026-09-15,demo-001-31,31,Akhir chapter-nya bagus dan bikin penasaran.,Akhir chapter-nya bagus dan bikin penasaran.,20260915-0024,2026-09-15T19:15:52+00:00,2026-09-21T17:31:04.111274+00:00,demo-001,positive,synthetic_comment_simulation,True,user_077
2026-09-15,demo-003-44,44,Chapter ini terasa terlalu lambat dan bertele-tele.,Chapter ini terasa terlalu lambat dan bertele-tele.,20260915-0025,2026-09-15T04:10:14+00:00,2026-09-21T17:31:04.111274+00:00,demo-003,negative,synthetic_comment_simulation,True,user_111
2026-09-15,demo-005-27,27,Saya baru selesai membaca chapter ini.,Saya baru selesai membaca chapter ini.,20260915-0026,2026-09-15T04:03:41+00:00,2026-09-21T17:31:04.111274+00:00,demo-005,neutral,synthetic_comment_simulation,True,user_099
2026-09-15,demo-003-44,44,"Chapter ini seru banget, alurnya makin bagus.","Chapter ini seru banget, alurnya makin bagus.",20260915-0027,2026-09-15T09:35:22+00:00,2026-09-21T17:31:04.111274+00:00,demo-003,positive,synthetic_comment_simulation,True,user_059
2026-09-15,demo-005-27,27,Chapter berikutnya rilis kapan?,Chapter berikutnya rilis kapan?,20260915-0028,2026-09-15T22:45:59+00:00,2026-09-21T17:31:04.111274+00:00,demo-005,neutral,synthetic_comment_simulation,True,user_065
2026-09-15,demo-003-44,44,Bagian ini menjelaskan latar belakang karakter utama.,Bagian ini menjelaskan latar belakang karakter utama.,20260915-0029,2026-09-15T05:33:52+00:00,2026-09-21T17:31:04.111274+00:00,demo-003,neutral,synthetic_comment_simulation,True,user_065
2026-09-15,demo-003-44,44,Chapter berikutnya rilis kapan?,Chapter berikutnya rilis kapan?,20260915-0030,2026-09-15T21:48:24+00:00,2026-09-21T17:31:04.111274+00:00,demo-003,neutral,synthetic_comment_simulation,True,user_070
2026-09-15,demo-003-44,44,Perkembangan karakternya terasa memuaskan.,Perkembangan karakternya terasa memuaskan.,20260915-0031,2026-09-15T11:11:46+00:00,2026-09-21T17:31:04.111274+00:00,demo-003,positive,synthetic_comment_simulation,True,user_015
2026-09-15,demo-002-18,18,"Chapter ini seru banget, alurnya makin bagus.","Chapter ini seru banget, alurnya makin bagus.",20260915-0032,2026-09-15T03:07:06+00:00,2026-09-21T17:31:04.111274+00:00,demo-002,positive,synthetic_comment_simulation,True,user_113
2026-09-15,demo-004-12,12,Bagian ini menjelaskan latar belakang karakter utama.,Bagian ini menjelaskan latar belakang karakter utama.,20260915-0033,2026-09-15T04:40:28+00:00,2026-09-21T17:31:04.111274+00:00,demo-004,neutral,synthetic_comment_simulation,True,user_098
2026-09-15,demo-004-12,12,Art-nya menurun dibandingkan chapter sebelumnya.,Art-nya menurun dibandingkan chapter sebelumnya.,20260915-0034,2026-09-15T19:12:43+00:00,2026-09-21T17:31:04.111274+00:00,demo-004,negative,synthetic_comment_simulation,True,user_022
